CONTENT TYPE,PROGRAM NAME,CONTENT NAME,SEASON NUMBER,PARTNER ID,IMPRESSIONS,ESTIMATED PARTNER EARNINGS,eCPM
SERIES,Maury,S11:E32 - 2 Moms. 3 Babies. Is One Man the Dad?,11,MS-1132,342781,1915.3642042499998,5.587719868516632
SERIES,Maury,S11:E33 - Torn Apart. Where Are They Now?,11,MS-1133,226393,1192.818599,5.268796292288189
SERIES,Maury,S11:E36 - Did My Daughter Sleep With My Man?,11,MS-1136,186143,966.525041125,5.192379198385113
SERIES,Maury,S11:E37 - 10 Moms. 12 Kids. Who’s the Dad? (Pt. 1),11,MS-1137,161848,834.115634625,5.153697510163857
SERIES,Karamo,S01:E01 - Unlocking My Phone; but You Have a Mistress,1,KA-0606,147247,850.5309837500001,5.776219439105721
SERIES,The Jerry Springer Show,S07:E16 - Wife Discovers Husband's Secret Family,7,JS-0123,133827,727.8339512499999,5.438618150672136
SERIES,Maury,S11:E38 - 10 Moms. 12 Kids. Who’s the Dad? (Pt. 2),11,MS-1138,129539,665.652981875,5.138629925157675
SERIES,The Jerry Springer Show,S12:E31 - I Want Your Lover!,12,JS-1856,123291,662.958303875,5.377183280815307
SERIES,Maury,S11:E39 - 1 Woman … 5 Kids … 15 Men Tested,11,MS-1139,122139,625.45112,5.1208141543651085
SERIES,The Jerry Springer Show,"S07:E35 - Honey, I'm Really a Guy",7,JS-0125,111842,577.260490625,5.161392773957905
SERIES,The Steve Wilkos Show,"S02:E11 - Mom, Meet Your 8-Year-Old Son",2,SW-1769,109970,609.089751375,5.5386901098026735
SERIES,Maury,S11:E41 - Our 3 Kids May Not Be Yours!,11,MS-1141,100395,514.60242575,5.125777436625329
SERIES,The Jerry Springer Show,S07:E59 - Update: Woman in Labor Confronts Mistress,7,JS-0127,88003,441.6992895,5.01913900094315
SERIES,Maury,S11:E45 - Shocking Results… Where Are They Now?,11,MS-1145,86031,440.4880331250001,5.120108253129687
SERIES,Maury,S11:E80 - Family and Babysitter Secrets Revealed,11,MS-1180,85389,436.12740675000003,5.107536178547589
SERIES,Karamo,S01:E02 - Plus Size Model Confronts Her Online Troll,1,KA-0604,84817,456.21323125000004,5.378794713913485
SERIES,The Steve Wilkos Show,S02:E41 - I’m 14 and I Want a Baby,2,SW-1792,80811,418.9537064999999,5.1843648327579155
SERIES,Maury,S11:E55 - Did My Fiance Cheat With My Mom?,11,MS-1151,79892,410.76437237500005,5.141495673847194
SERIES,Maury,S11:E78 - Family Sex Secrets Uncovered!,11,MS-1178,75448,388.65732937499996,5.151327130937864
SERIES,Karamo,S01:E03 - I'll Unlock My Phone to Prove My Innocence,1,KA-0603,71195,372.3201615,5.2295829974015025
SERIES,The Steve Wilkos Show,S02:E67 - I Have Two Husbands,2,SW-1702,63934,327.14429212500005,5.116906374151469
SERIES,Maury,S12:E32 - Is My Sister's Fiancé or My Ex My Baby's Father?,12,MS-1232,63205,326.86072650000006,5.171437805553359
SERIES,The Jerry Springer Show,S07:E79 - Cheaters Come Clean,7,JS-0103,61005,308.873051375,5.06307763912794
SERIES,Maury,S11:E82 - Women at War! Shocking Test Results!,11,MS-1182,59162,301.11540462499994,5.089675883590818
SERIES,Maury,S12:E28 - Did My Husband or Lover Father My Kids?,12,MS-1228,59067,312.25226025,5.286407981614099
SERIES,Maury,S12:E29 - Is My Sister Sleeping With My Man?,12,MS-1229,58786,303.282588875,5.1590955138128125
SERIES,The Jerry Springer Show,S07:E80 - I'm in a Love Triangle!,7,JS-1706,57186,287.8180165,5.033015362151576
SERIES,Maury,S11:E85 - I'll Prove Your 5 Kids Are Not Mine!,11,MS-1185,57113,290.66609687499994,5.089315862850838
SERIES,Karamo,S01:E04 - Mom and Daughter in Distress,1,KA-0607,56795,297.098018875,5.231059404437009
SERIES,Karamo,S01:E05 - My Child's Father Won't Accept My Transition,1,KA-0602,56145,292.37762837500003,5.20754525558821
SERIES,The Jerry Springer Show,S07:E85 - I Have a Secret for My Man!,7,JS-0130,55176,279.850087125,5.071953152185733
SERIES,The Steve Wilkos Show,S02:E83 - An Explosive DNA Story,2,SW-1721,52665,266.95809175,5.068984937814488
SERIES,The Jerry Springer Show,S07:E81 - Holiday Hell Feast,7,JS-0104,51076,258.789447,5.066752427754718
SERIES,Karamo,S01:E07 - Teens in Trouble,1,KA-0608,49882,258.472361875,5.18167599284311
SERIES,Maury,S12:E34 - I Saw You Cheat... My Son Is Not Your Baby's Father!,12,MS-1234,49333,251.44044449999998,5.096800204731113
SERIES,The Jerry Springer Show,S07:E86 - I Never Let You Go,7,JS-0131,48756,244.25390937499998,5.009720021638362
SERIES,The Steve Wilkos Show,"S02:E86 - Steve, I Can’t Face the Truth",2,SW-1722,47125,239.1725796249999,5.07528020424403
SERIES,Maury,S12:E36 - Cheating With His Stepdaughter? Family Sex Secrets Exposed!,12,MS-1760,45591,232.85251062500004,5.107422750652542
SERIES,Maury,S11:E83 - I'll Prove Her Baby's Not Mine!,11,MS-1183,44803,229.26088149999998,5.117087728500324
SERIES,Maury,S12:E30 - We Had a Threesome... Is Your Man My Baby's Dad?,12,MS-1230,43298,222.83361712500002,5.14651062693427
SERIES,The Steve Wilkos Show,S02:E100 - A Mother in Denial,2,SW-1732,42928,218.089255125,5.080349774622624
SERIES,The Jerry Springer Show,S07:E91 - I'll Fight for My Man,7,JS-0138,40556,203.15784562499994,5.009316639338198
SERIES,Karamo,S01:E09 - Internet Rejects Our Open Adoption!,1,KA-0612,39997,206.55512850000002,5.164265532414932
SERIES,Maury,S12:E38 - I Cheated With Your Family and 97 Women,12,MS-1238,39967,203.55327475000004,5.093033621487728
SERIES,The Jerry Springer Show,S07:E89 - Homewreckers Confronted,7,JS-0105,38606,194.10661375000004,5.027887213127494
SERIES,The Steve Wilkos Show,S02:E121 - He Controls Your Entire Life!,2,SW-1746,38518,196.4699493749999,5.1007308109195675
SERIES,Maury,S12:E37 - They're Back: Feuding Family Updates!,12,MS-1237,38054,193.86992974999995,5.09460056104483
SERIES,The Steve Wilkos Show,S02:E122 - Did You Fake Your Pregnancies?,2,SW-1748,37995,191.94891450000003,5.051951954204502
SERIES,The Jerry Springer Show,S07:E95 - Guess What...I'm a Man,7,JS-0139,37366,189.523245625,5.072077440052453
SERIES,Karamo,S01:E10 - Show Me the Proof!,1,KA-0609,36985,191.86496262499998,5.187642628768419
SERIES,The Jerry Springer Show,S07:E93 - My Lover Is a Cheat!,7,JS-1717,36475,183.23114775000008,5.023472179575053
SERIES,Maury,S12:E35 - I Cheated … Our Kids May Not Be Yours!,12,MS-1235,36053,185.85960575000001,5.1551772598674175
SERIES,The Steve Wilkos Show,S02:E128 - Crawl to Your Wife,2,SW-1755,35624,179.51030999999998,5.039027341118346
SERIES,The Steve Wilkos Show,S02:E127 - I’m Starving Myself to Death,2,SW-1754,35490,181.664172375,5.1187425295857985
SERIES,Karamo,S01:E11 - Confronting My Bully...My Mom,1,KA-0613,34415,178.2641945,5.179840026151388
SERIES,The Steve Wilkos Show,S03:E01 - Tell the Truth Now,3,SW-1766,34379,176.13942237499998,5.123459739230344
SERIES,Karamo,S01:E13 - Families Reunited,1,KA-0605,33692,175.14604625,5.198446107384543
SERIES,Maury,S12:E39 - 5 Babies 5 DNA Tests. Is He the Father?,12,MS-1239,33191,170.48518462499996,5.1364883439787885
SERIES,The Jerry Springer Show,S07:E96 - I've Had Enough…It's Over!,7,JS-1720,31785,159.31234899999998,5.012186534528865
SERIES,Maury,S12:E43 - Did My Fiancé Sleep With My Uncle for Money?,12,MS-1243,31757,161.95795,5.099913404918601
SERIES,Karamo,"S01:E14 - I'm 17, Are You My Daddy?",1,KA-0614,31663,164.90501825,5.208129938729749
SERIES,Maury,S12:E40 - We'll Prove You're My Baby's Dad!,12,MS-1240,31019,159.55990049999997,5.143940826590153
SERIES,The Jerry Springer Show,S07:E97 - I Have a Sexy Secret!,7,JS-1721,29889,150.12990387499997,5.02291491434976
SERIES,Karamo,S01:E12 - Unlock the Phone,1,KA-0610,29700,153.53134125,5.1694054292929295
SERIES,Karamo,S01:E16 - Unlock the Phone II,1,KA-0618,28260,145.83018537499999,5.160303799539985
SERIES,Karamo,S01:E15 - Too Many People in This Relationship,1,KA-0616,28139,145.877864125,5.184187928675503
SERIES,The Steve Wilkos Show,S03:E45 - Real Teens; Real Topics,3,SW-1793,28134,143.10179012499998,5.086435989372289
SERIES,Maury,S12:E44 - 3 Mad Moms … 4 Babies … Is Aaron the Dad?,12,MS-1244,27930,141.90300949999997,5.080666290726816
SERIES,The Steve Wilkos Show,S04:E79 - 16-Year-Old Surrogate Stole Our Baby,4,SW-0479,27582,140.011766125,5.076200642629251
SERIES,The Jerry Springer Show,S07:E98 - Get Your Own Man!,7,JS-1722,27506,138.259988125,5.026539232349306
SERIES,The Jerry Springer Show,S08:E34 - Clash of the Angry Lovers,8,JS-0152,27494,142.012908625,5.165232728049756
SERIES,The Steve Wilkos Show,S04:E33 - What if She Is Your Daughter?,4,SW-0433,27427,139.75702562500007,5.095600161337371
SERIES,Maury,S12:E41 - Where Did My Man Learn New Sex Moves?,12,MS-1241,27322,140.31433850000002,5.135580795695777
SERIES,The Steve Wilkos Show,S03:E82 - College Life Uncovered (Pt. 1),3,SW-1707,26896,136.00201125,5.056588758551458
SERIES,Maury,S12:E46 - After 27 Years… Are You Cheating With My Sister?,12,MS-1246,26873,137.14531337500003,5.103461220369889
